id;display_name;business_type;business_category;business_sub_category;country;pincode;addline_1;addline_2;contact_name;email;mobile_number;website_url;age;turn_over
1;Light;action-items HDD infomediaries;Games quantifying;Administrator modular Toys;El Salvador;program Division;transmitting Seychelles Rupee frictionless;Intelligent Frozen Shirt;Cyprus Corporate Developer;Grace.Johnston73@hotmail.com;cross-media Electronics transmitting;Louisiana;Dynamic Pre-emptive markets;RSS
2;aggregate;magnetic Borders Handmade Rubber Pizza;green copying;Tasty Assurance human-resource;Croatia;withdrawal open-source Danish Krone;Soft XML Buckinghamshire;Persistent Cambodia;navigate PCI compress;Juanita.Mertz@hotmail.com;Total bluetooth;Crest Adaptive;Plastic;alarm
3;olive;Sleek Metal Tuna;auxiliary Dynamic scalable;Bond Markets Units European Composite Unit (EURCO) Congolese Franc Wooden;Tunisia;exploit Up-sized;zero administration;Jewelery index;Idaho;Cecil9@gmail.com;optimizing;Cotton;B2B;Key
4;Azerbaijanian Manat parse strategic;initiatives;Movies Electronics;navigate platforms;Saint Vincent and the Grenadines;Security exploit Hill;aggregate;Tasty Technician wireless;Berkshire Bedfordshire deposit;Valerie31@gmail.com;Factors Manor;Sleek Profit-focused moratorium;Rustic strategize Macedonia;Granite input yellow
5;index Interactions;bandwidth;Avon;Direct hacking;Puerto Rico;empowering backing up;Refined Wooden Ball;South Dakota Integrated Computers;navigating Plastic Developer;Brian_Powlowski75@hotmail.com;optical;Assistant connecting;THX;Rubber Producer compress
6;Corporate deposit PCI;calculate paradigms;Borders;ROI North Carolina;Bhutan;enhance;invoice;Gorgeous Innovative;grey Keyboard cross-platform;Preston.Block30@gmail.com;Frozen reboot;Tasty Wooden Hat;Analyst Self-enabling withdrawal;United States of America
7;Refined Soft Chips Walks schemas;Investment Account;hard drive Keyboard invoice;Gorgeous;Kuwait;violet Avon SAS;whiteboard Marshall Islands Auto Loan Account;Developer Versatile;Versatile;Itzel.Kovacek@hotmail.com;invoice;Polarised backing up Checking Account;Latvian Lats sexy indexing;Investment Account Future
8;Fantastic Frozen Table convergence;array Web;optimize Glens parsing;ivory;Cyprus;Generic Rubber;Avon ROI Checking Account;Investor;upward-trending Data Malagasy Ariary;Mack97@gmail.com;Frozen deliver;Drive Handcrafted;UAE Dirham;Optimization object-oriented
9;Multi-lateral;Fantastic Granite Table Coordinator firewall;transmit harness;Trinidad and Tobago Dollar;Malaysia;fuchsia;Investment Account parse Games;Profound;Sausages Director Bhutan;Alize_Durgan85@yahoo.com;connecting Investor;Home;hacking;Profound Tasty Cotton Computer
10;Factors Euro Investor;frictionless Cambridgeshire;Credit Card Account hacking;enhance;Azerbaijan;Beauty;access;Beauty Liaison azure;Books;Rebeka33@hotmail.com;B2B;synthesize Berkshire info-mediaries;contingency Beauty;Money Market Account
