id;mid;pan_status;bank_status;gstin_status
1;Executive;primary;Innovative Incredible;integrate
2;Stand-alone;Cheese Buckinghamshire;Buckinghamshire;Buckinghamshire Gorgeous Plastic Computer
3;Tunnel Forward;Frozen back-end data-warehouse;Australia Lane Total;enterprise invoice
4;Steel;Analyst channels Australia;seamless Rustic Concrete Chips;parsing reinvent connecting
5;executive Kiribati;Iceland Krona;Cotton fuchsia Quality;Washington
6;Marshall Islands Generic;invoice Wyoming;red;Checking Account compressing
7;Investment Account;Handmade Soft Ball Fresh platforms;Centralized aggregate;copy
8;Lead grow;Credit Card Account lavender;Practical Plastic Tuna;synthesizing Bond Markets Units European Composite Unit (EURCO)
9;heuristic Nebraska Buckinghamshire;Creative Oklahoma convergence;e-tailers;indigo Credit Card Account
10;invoice Pennsylvania content;Home Credit Card Account reboot;deposit;violet Bhutan
